"semiotic","input","output"
"PUNCT",",","sil"
"DATE","11/17/09","november seventeenth o nine"
"PUNCT","""","sil"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PUNCT","""","sil"
"PLAIN","The","<self>"
"PLAIN","Pines","<self>"
"PUNCT","(","sil"
"CARDINAL","1065520","one million sixty five thousand five hundred twenty"
"PUNCT",")","sil"
"PUNCT","""","sil"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Chang","<self>"
"PLAIN","was","<self>"
"PLAIN","born","<self>"
"PLAIN","in","<self>"
"PLAIN","Canton","<self>"
"PUNCT",",","sil"
"PLAIN","part","<self>"
"PLAIN","of","<self>"
"PLAIN","a","<self>"
"PLAIN","wealthy","<self>"
"PLAIN","mercantile","<self>"
"PLAIN","family","<self>"
"PLAIN","with","<self>"
"PLAIN","interests","<self>"
"PLAIN","in","<self>"
"PLAIN","Hong","<self>"
"PLAIN","Kong","<self>"
"PLAIN","and","<self>"
"PLAIN","Shanghai","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Mahwah","<self>"
"PUNCT",",","sil"
"LETTERS","NJ","n j"
"PUNCT",":","sil"
"PLAIN","Lawrence","<self>"
"PLAIN","Erlbaum","<self>"
"PLAIN","Associates","<self>"
"PUNCT",",","sil"
"PLAIN","publishersPremack","<self>"
"PUNCT",",","sil"
"PLAIN","David","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"DATE","August 16, 2005","august sixteenth two thousand five"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Francisca","<self>"
"PLAIN","Josefa","<self>"
"PLAIN","had","<self>"
"PLAIN","three","<self>"
"PLAIN","siblings","<self>"
"PLAIN","whose","<self>"
"PLAIN","names","<self>"
"PLAIN","were","<self>"
"PLAIN","Catalina","<self>"
"PLAIN","and","<self>"
"PLAIN","Pedro","<self>"
"PLAIN","Antonio","<self>"
"PLAIN","Diego","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","naturally","<self>"
"PLAIN","occurring","<self>"
"PLAIN","mineral","<self>"
"PLAIN","anglesite","<self>"
"PUNCT",",","sil"
"PLAIN","PbSO4","lead two sulphate"
"PUNCT",",","sil"
"PLAIN","occurs","<self>"
"PLAIN","as","<self>"
"PLAIN","an","<self>"
"PLAIN","oxidation","<self>"
"PLAIN","product","<self>"
"PLAIN","of","<self>"
"PLAIN","primary","<self>"
"PLAIN","lead","<self>"
"PLAIN","sulfide","<self>"
"PLAIN","ore","<self>"
"PUNCT",",","sil"
"PLAIN","galena","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Thus","<self>"
"PUNCT",",","sil"
"PLAIN","during","<self>"
"PLAIN","the","<self>"
"PLAIN","years","<self>"
"DATE","1573","fifteen seventy three"
"PLAIN","-","to"
"DATE","1595","fifteen ninety five"
"PLAIN","they","<self>"
"PLAIN","rebuilt","<self>"
"PLAIN","the","<self>"
"PLAIN","old","<self>"
"PLAIN","castle","<self>"
"PUNCT",",","sil"
"PLAIN","just","<self>"
"PLAIN","like","<self>"
"PLAIN","many","<self>"
"PLAIN","other","<self>"
"PLAIN","castles","<self>"
"PLAIN","throughout","<self>"
"PLAIN","the","<self>"
"PLAIN","island","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Henry","<self>"
"PLAIN","moved","<self>"
"PLAIN","in","<self>"
"PLAIN","with","<self>"
"PLAIN","Young","<self>"
"PLAIN","at","<self>"
"PLAIN","Carrigoona","<self>"
"PLAIN","Cottage","<self>"
"PLAIN","in","<self>"
"DATE","1929","nineteen twenty nine"
"PUNCT",",","sil"
"PLAIN","building","<self>"
"PLAIN","a","<self>"
"PLAIN","studio","<self>"
"PLAIN","there","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Caribbean","<self>"
"PLAIN","E","<self>"
"PLAIN","Magazine","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Martha","<self>"
"PLAIN","is","<self>"
"PLAIN","concerned","<self>"
"PUNCT",",","sil"
"PLAIN","as","<self>"
"PLAIN","the","<self>"
"PLAIN","Doctor","<self>"
"PLAIN","did","<self>"
"PLAIN","not","<self>"
"PLAIN","instruct","<self>"
"PLAIN","her","<self>"
"PLAIN","on","<self>"
"PLAIN","what","<self>"
"PLAIN","to","<self>"
"PLAIN","do","<self>"
"PLAIN","should","<self>"
"PLAIN","he","<self>"
"PLAIN","fall","<self>"
"PLAIN","in","<self>"
"PLAIN","love","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","line","<self>"
"PLAIN","will","<self>"
"PLAIN","be","<self>"
"PLAIN","underground","<self>"
"PLAIN","from","<self>"
"PLAIN","north","<self>"
"PLAIN","to","<self>"
"PLAIN","south","<self>"
"PUNCT",",","sil"
"PLAIN","serving","<self>"
"PLAIN","a","<self>"
"PLAIN","section","<self>"
"PLAIN","of","<self>"
"PLAIN","the","<self>"
"PLAIN","city","<self>"
"PLAIN","with","<self>"
"PLAIN","high","<self>"
"PLAIN","ridership","<self>"
"PLAIN","potential","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Young","<self>"
"PLAIN","went","<self>"
"PLAIN","on","<self>"
"PLAIN","to","<self>"
"PLAIN","hold","<self>"
"PLAIN","her","<self>"
"PLAIN","first","<self>"
"PLAIN","solo","<self>"
"PLAIN","exhibition","<self>"
"PLAIN","in","<self>"
"DATE","1933","nineteen thirty three"
"PLAIN","at","<self>"
"PLAIN","the","<self>"
"PLAIN","Country","<self>"
"PLAIN","Shop","<self>"
"PUNCT",",","sil"
"PLAIN","st","saint"
"PLAIN","Stephen's","<self>"
"PLAIN","Green","<self>"
"PUNCT",",","sil"
"PLAIN","Dublin","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PUNCT","""","sil"
"PLAIN","Coming","<self>"
"PLAIN","to","<self>"
"PLAIN","a","<self>"
"PLAIN","Networked","<self>"
"PLAIN","Device","<self>"
"PLAIN","Near","<self>"
"PLAIN","You","<self>"
"PUNCT",":","sil"
"PLAIN","Cyberwar","<self>"
"PUNCT","!","sil"
"PUNCT","""","sil"
"<eos>","<eos>",""
"PLAIN","Retrieved","<self>"
"DATE","3 February 2016","the third of february twenty sixteen"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Arthur","<self>"
"PLAIN","Greville","<self>"
"PLAIN","Collins","<self>"
"PUNCT","(","sil"
"PLAIN","born","<self>"
"DATE","September 5, 1895","september fifth eighteen ninety five"
"PUNCT",",","sil"
"PLAIN","date","<self>"
"PLAIN","of","<self>"
"PLAIN","death","<self>"
"PLAIN","unknown","<self>"
"PUNCT",")","sil"
"PUNCT",",","sil"
"PLAIN","was","<self>"
"PLAIN","a","<self>"
"PLAIN","British","<self>"
"PLAIN","born","<self>"
"PLAIN","film","<self>"
"PLAIN","director","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","It","<self>"
"PLAIN","is","<self>"
"PLAIN","strongly","<self>"
"PLAIN","implied","<self>"
"PLAIN","that","<self>"
"PLAIN","she","<self>"
"PLAIN","will","<self>"
"PLAIN","become","<self>"
"PLAIN","the","<self>"
"PLAIN","next","<self>"
"PLAIN","Gammer","<self>"
"PUNCT",",","sil"
"PLAIN","seeing","<self>"
"PLAIN","as","<self>"
"PLAIN","she","<self>"
"PLAIN","has","<self>"
"PLAIN","a","<self>"
"PLAIN","lot","<self>"
"PLAIN","of","<self>"
"PLAIN","dwimmer","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","song","<self>"
"PLAIN","reached","<self>"
"PLAIN","number","<self>"
"CARDINAL","9","nine"
"PLAIN","on","<self>"
"PLAIN","the","<self>"
"PLAIN","Billboard","<self>"
"PLAIN","Hot","<self>"
"PLAIN","Country","<self>"
"PLAIN","Singles","<self>"
"VERBATIM","&","and"
"PLAIN","Tracks","<self>"
"PLAIN","chart","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PUNCT","""","sil"
"PLAIN","How","<self>"
"PLAIN","plants","<self>"
"PLAIN","tell","<self>"
"PLAIN","the","<self>"
"PLAIN","time","<self>"
"PUNCT","""","sil"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","It","<self>"
"PLAIN","is","<self>"
"PLAIN","led","<self>"
"PLAIN","by","<self>"
"PLAIN","the","<self>"
"PLAIN","incumbent","<self>"
"PLAIN","mayor","<self>"
"PLAIN","of","<self>"
"LETTERS","Lviv","l v i v"
"PUNCT",",","sil"
"PLAIN","Andriy","<self>"
"PLAIN","Sadovyi","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","It","<self>"
"PLAIN","was","<self>"
"PLAIN","founded","<self>"
"PLAIN","on","<self>"
"DATE","December 29, 2012","december twenty ninth twenty twelve"
"PUNCT",",","sil"
"PLAIN","and","<self>"
"PLAIN","identifies","<self>"
"PLAIN","with","<self>"
"PLAIN","the","<self>"
"PLAIN","ideology","<self>"
"PLAIN","of","<self>"
"PUNCT","""","sil"
"PLAIN","Christian","<self>"
"PLAIN","morality","<self>"
"PLAIN","and","<self>"
"PLAIN","common","<self>"
"PLAIN","sense","<self>"
"PUNCT",".","sil"
"PUNCT","""","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","Standard","<self>"
"PLAIN","Catalog","<self>"
"PLAIN","of","<self>"
"PLAIN","American","<self>"
"PLAIN","Cars","<self>"
"DATE","1946","nineteen forty six"
"PLAIN","-","to"
"DATE","1975","nineteen seventy five"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","bridge","<self>"
"PLAIN","carries","<self>"
"PLAIN","interstate","<self>"
"CARDINAL","3","three"
"CARDINAL","10 ","ten"
"PLAIN","over","<self>"
"PLAIN","the","<self>"
"PLAIN","LaBranche","<self>"
"PLAIN","Wetlands","<self>"
"PLAIN","in","<self>"
"PLAIN","st","saint"
"PLAIN","Charles","<self>"
"PLAIN","Parish","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Examples","<self>"
"PLAIN","of","<self>"
"PLAIN","well","<self>"
"PLAIN","excavated","<self>"
"PLAIN","tombs","<self>"
"PLAIN","of","<self>"
"PLAIN","this","<self>"
"PLAIN","site","<self>"
"PLAIN","include","<self>"
"PLAIN","the","<self>"
"PLAIN","tombs","<self>"
"PLAIN","of","<self>"
"LETTERS","Ukh","u k h"
"PLAIN","Hotep","<self>"
"PLAIN","and","<self>"
"PLAIN","Pepyankh","<self>"
"PLAIN","the","<self>"
"PLAIN","Middle","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Of","<self>"
"PLAIN","the","<self>"
"PLAIN","single","<self>"
"PLAIN","family","<self>"
"PLAIN","homes","<self>"
"CARDINAL","3","three"
"PLAIN","were","<self>"
"PLAIN","built","<self>"
"PLAIN","before","<self>"
"DATE","1919","nineteen nineteen"
"PUNCT",",","sil"
"PLAIN","while","<self>"
"CARDINAL","19","nineteen"
"PLAIN","were","<self>"
"PLAIN","built","<self>"
"PLAIN","between","<self>"
"DATE","1990","nineteen ninety"
"PLAIN","and","<self>"
"DATE","2000","two thousand"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","name","<self>"
"PLAIN","of","<self>"
"PLAIN","the","<self>"
"PLAIN","party","<self>"
"PLAIN","is","<self>"
"PLAIN","similar","<self>"
"PLAIN","to","<self>"
"PLAIN","the","<self>"
"PLAIN","name","<self>"
"PLAIN","of","<self>"
"PLAIN","the","<self>"
"LETTERS","NGO","n g o"
"PUNCT",",","sil"
"PLAIN","founded","<self>"
"PLAIN","by","<self>"
"PLAIN","Sadovyi","<self>"
"PLAIN","in","<self>"
"DATE","2004","two thousand four"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Due","<self>"
"PLAIN","to","<self>"
"PLAIN","the","<self>"
"PLAIN","global","<self>"
"PLAIN","financial","<self>"
"PLAIN","crisis","<self>"
"PUNCT",",","sil"
"PLAIN","imports","<self>"
"PLAIN","ceased","<self>"
"PLAIN","in","<self>"
"DATE","2008","two thousand eight"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Retrieved","<self>"
"DATE","25 July 2012","the twenty fifth of july twenty twelve"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","One","<self>"
"PLAIN","such","<self>"
"PLAIN","community","<self>"
"PLAIN","farm","<self>"
"PLAIN","is","<self>"
"PLAIN","the","<self>"
"PLAIN","Collingwood","<self>"
"PLAIN","Children's","<self>"
"PLAIN","Farm","<self>"
"PLAIN","in","<self>"
"PLAIN","Melbourne","<self>"
"PUNCT",",","sil"
"PLAIN","Australia","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Retrieved","<self>"
"DATE","19 December 2014","the nineteenth of december twenty fourteen"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","In","<self>"
"DATE","2010","twenty ten"
"PLAIN","Sadovyi","<self>"
"PLAIN","was","<self>"
"PLAIN","reelected","<self>"
"PLAIN","for","<self>"
"PLAIN","the","<self>"
"PLAIN","office","<self>"
"PLAIN","of","<self>"
"PLAIN","mayor","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PUNCT","""","sil"
"PLAIN","I'm","<self>"
"PLAIN","saying","<self>"
"PLAIN","in","<self>"
"PLAIN","the","<self>"
"PLAIN","song","<self>"
"PLAIN","that","<self>"
"PLAIN","I'm","<self>"
"PLAIN","giving","<self>"
"PLAIN","my","<self>"
"PLAIN","back","<self>"
"PLAIN","to","<self>"
"PLAIN","them","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","boy","<self>"
"PLAIN","wished","<self>"
"PLAIN","to","<self>"
"PLAIN","go","<self>"
"PLAIN","home","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","The","<self>"
"PLAIN","rest","<self>"
"PLAIN","were","<self>"
"PLAIN","sent","<self>"
"PLAIN","to","<self>"
"PLAIN","Auschwitz","<self>"
"PLAIN","in","<self>"
"DATE","October 1942","october nineteen forty two"
"PUNCT",".","sil"
"<eos>","<eos>",""
"PLAIN","Then","<self>"
"PLAIN","he","<self>"
"PLAIN","worked","<self>"
"PLAIN","as","<self>"
"PLAIN","a","<self>"
"PLAIN","huntsman","<self>"
"PLAIN","for","<self>"
"PLAIN","his","<self>"
"PLAIN","own","<self>"
"PLAIN","father","<self>"
"PUNCT",".","sil"
"<eos>","<eos>",""